te @ epoch 90/300 | Loss 0.001389 | 0.75 (s)
tr @ epoch 91/300 | Loss 0.001351 | 8.25 (s)
tr @ epoch 92/300 | Loss 0.001339 | 8.25 (s)
tr @ epoch 93/300 | Loss 0.001333 | 8.25 (s)
tr @ epoch 94/300 | Loss 0.001320 | 8.26 (s)
tr @ epoch 95/300 | Loss 0.001315 | 8.25 (s)
tr @ epoch 96/300 | Loss 0.001299 | 8.25 (s)
tr @ epoch 97/300 | Loss 0.001294 | 8.26 (s)
tr @ epoch 98/300 | Loss 0.001281 | 8.26 (s)
tr @ epoch 99/300 | Loss 0.001270 | 8.25 (s)
tr @ epoch 100/300 | Loss 0.001262 | 8.26 (s)
tr @ epoch 101/300 | Loss 0.001259 | 8.25 (s)
tr @ epoch 102/300 | Loss 0.001249 | 8.25 (s)
tr @ epoch 103/300 | Loss 0.001247 | 8.26 (s)
tr @ epoch 104/300 | Loss 0.001243 | 8.26 (s)
tr @ epoch 105/300 | Loss 0.001236 | 8.25 (s)
te @ epoch 105/300 | Loss 0.001269 | 0.75 (s)
tr @ epoch 106/300 | Loss 0.001233 | 8.26 (s)
tr @ epoch 107/300 | Loss 0.001229 | 8.25 (s)
tr @ epoch 108/300 | Loss 0.001227 | 8.25 (s)
tr @ epoch 109/300 | Loss 0.001218 | 8.26 (s)
tr @ epoch 110/300 | Loss 0.001214 | 8.26 (s)
tr @ epoch 111/300 | Loss 0.001209 | 8.25 (s)
tr @ epoch 112/300 | Loss 0.001204 | 8.26 (s)
tr @ epoch 113/300 | Loss 0.001202 | 8.25 (s)
tr @ epoch 114/300 | Loss 0.001199 | 8.26 (s)
tr @ epoch 115/300 | Loss 0.001192 | 8.26 (s)
tr @ epoch 116/300 | Loss 0.001188 | 8.26 (s)
tr @ epoch 117/300 | Loss 0.001184 | 8.26 (s)
tr @ epoch 118/300 | Loss 0.001178 | 8.25 (s)
tr @ epoch 119/300 | Loss 0.001176 | 8.26 (s)
tr @ epoch 120/300 | Loss 0.001171 | 8.26 (s)
te @ epoch 120/300 | Loss 0.001201 | 0.75 (s)
tr @ epoch 121/300 | Loss 0.001165 | 8.26 (s)
tr @ epoch 122/300 | Loss 0.001159 | 8.25 (s)
tr @ epoch 123/300 | Loss 0.001155 | 8.56 (s)
tr @ epoch 124/300 | Loss 0.001154 | 8.25 (s)
tr @ epoch 125/300 | Loss 0.001147 | 8.29 (s)
tr @ epoch 126/300 | Loss 0.001143 | 8.25 (s)
tr @ epoch 127/300 | Loss 0.001142 | 8.25 (s)
tr @ epoch 128/300 | Loss 0.001142 | 8.25 (s)
tr @ epoch 129/300 | Loss 0.001140 | 8.27 (s)
tr @ epoch 130/300 | Loss 0.001137 | 8.25 (s)
tr @ epoch 131/300 | Loss 0.001137 | 8.25 (s)
tr @ epoch 132/300 | Loss 0.001132 | 8.25 (s)
tr @ epoch 133/300 | Loss 0.001133 | 8.26 (s)
tr @ epoch 134/300 | Loss 0.001129 | 8.25 (s)
tr @ epoch 135/300 | Loss 0.001127 | 8.25 (s)
te @ epoch 135/300 | Loss 0.001158 | 0.75 (s)
tr @ epoch 136/300 | Loss 0.001124 | 8.25 (s)
tr @ epoch 137/300 | Loss 0.001122 | 8.25 (s)
tr @ epoch 138/300 | Loss 0.001118 | 8.26 (s)
tr @ epoch 139/300 | Loss 0.001116 | 8.26 (s)
tr @ epoch 140/300 | Loss 0.001113 | 8.26 (s)
tr @ epoch 141/300 | Loss 0.001112 | 8.25 (s)
tr @ epoch 142/300 | Loss 0.001112 | 8.25 (s)
tr @ epoch 143/300 | Loss 0.001108 | 8.25 (s)
tr @ epoch 144/300 | Loss 0.001106 | 8.26 (s)
tr @ epoch 145/300 | Loss 0.001102 | 8.26 (s)
tr @ epoch 146/300 | Loss 0.001098 | 8.25 (s)
tr @ epoch 147/300 | Loss 0.001098 | 8.25 (s)
tr @ epoch 148/300 | Loss 0.001098 | 8.26 (s)
tr @ epoch 149/300 | Loss 0.001094 | 8.26 (s)
tr @ epoch 150/300 | Loss 0.001092 | 8.25 (s)
te @ epoch 150/300 | Loss 0.001125 | 0.75 (s)
tr @ epoch 151/300 | Loss 0.001090 | 8.26 (s)
tr @ epoch 152/300 | Loss 0.001094 | 8.25 (s)
tr @ epoch 153/300 | Loss 0.001090 | 8.25 (s)
tr @ epoch 154/300 | Loss 0.001085 | 8.25 (s)
tr @ epoch 155/300 | Loss 0.001087 | 8.25 (s)
tr @ epoch 156/300 | Loss 0.001086 | 8.25 (s)
tr @ epoch 157/300 | Loss 0.001083 | 8.25 (s)
tr @ epoch 158/300 | Loss 0.001084 | 8.25 (s)
tr @ epoch 159/300 | Loss 0.001084 | 8.25 (s)
tr @ epoch 160/300 | Loss 0.001083 | 8.25 (s)
tr @ epoch 161/300 | Loss 0.001079 | 8.26 (s)
tr @ epoch 162/300 | Loss 0.001080 | 8.25 (s)
tr @ epoch 163/300 | Loss 0.001076 | 8.25 (s)
tr @ epoch 164/300 | Loss 0.001074 | 8.25 (s)
tr @ epoch 165/300 | Loss 0.001072 | 8.26 (s)
te @ epoch 165/300 | Loss 0.001108 | 0.75 (s)
tr @ epoch 166/300 | Loss 0.001076 | 8.25 (s)
tr @ epoch 167/300 | Loss 0.001074 | 8.26 (s)
tr @ epoch 168/300 | Loss 0.001071 | 8.25 (s)
tr @ epoch 169/300 | Loss 0.001070 | 8.25 (s)
tr @ epoch 170/300 | Loss 0.001071 | 8.26 (s)
tr @ epoch 171/300 | Loss 0.001072 | 8.25 (s)
tr @ epoch 172/300 | Loss 0.001070 | 8.25 (s)
tr @ epoch 173/300 | Loss 0.001068 | 8.25 (s)
tr @ epoch 174/300 | Loss 0.001065 | 8.25 (s)
tr @ epoch 175/300 | Loss 0.001066 | 8.25 (s)
tr @ epoch 176/300 | Loss 0.001063 | 8.26 (s)
tr @ epoch 177/300 | Loss 0.001057 | 8.25 (s)
tr @ epoch 178/300 | Loss 0.001063 | 8.25 (s)
tr @ epoch 179/300 | Loss 0.001061 | 8.26 (s)
tr @ epoch 180/300 | Loss 0.001061 | 8.25 (s)
te @ epoch 180/300 | Loss 0.001094 | 0.75 (s)
tr @ epoch 181/300 | Loss 0.001059 | 8.25 (s)
tr @ epoch 182/300 | Loss 0.001062 | 8.25 (s)
tr @ epoch 183/300 | Loss 0.001057 | 8.44 (s)
tr @ epoch 184/300 | Loss 0.001061 | 8.25 (s)
tr @ epoch 185/300 | Loss 0.001057 | 8.57 (s)
tr @ epoch 186/300 | Loss 0.001059 | 8.25 (s)
tr @ epoch 187/300 | Loss 0.001056 | 8.25 (s)
tr @ epoch 188/300 | Loss 0.001056 | 8.29 (s)
tr @ epoch 189/300 | Loss 0.001058 | 8.25 (s)
tr @ epoch 190/300 | Loss 0.001052 | 8.26 (s)
tr @ epoch 191/300 | Loss 0.001054 | 8.26 (s)
tr @ epoch 192/300 | Loss 0.001056 | 8.26 (s)
tr @ epoch 193/300 | Loss 0.001052 | 8.25 (s)
tr @ epoch 194/300 | Loss 0.001051 | 8.25 (s)
tr @ epoch 195/300 | Loss 0.001054 | 8.25 (s)
te @ epoch 195/300 | Loss 0.001085 | 0.75 (s)
tr @ epoch 196/300 | Loss 0.001053 | 8.26 (s)
tr @ epoch 197/300 | Loss 0.001054 | 8.25 (s)
tr @ epoch 198/300 | Loss 0.001053 | 8.25 (s)
tr @ epoch 199/300 | Loss 0.001047 | 8.26 (s)
tr @ epoch 200/300 | Loss 0.001049 | 8.26 (s)
tr @ epoch 201/300 | Loss 0.001051 | 8.26 (s)
tr @ epoch 202/300 | Loss 0.001049 | 8.27 (s)
tr @ epoch 203/300 | Loss 0.001051 | 8.26 (s)
tr @ epoch 204/300 | Loss 0.001048 | 8.27 (s)
tr @ epoch 205/300 | Loss 0.001047 | 8.26 (s)
tr @ epoch 206/300 | Loss 0.001054 | 8.26 (s)
tr @ epoch 207/300 | Loss 0.001046 | 8.26 (s)
tr @ epoch 208/300 | Loss 0.001048 | 8.26 (s)
